Entity,Code,Year,GDP.per.capita,Baseline Gini series (GCIP income and van Zanden et al. (2014)),Population,baseline_GCIP_income_vZ_source
Afghanistan,AFG,1820,450.09600165288,0.5771468,3280000,regional average
Afghanistan,AFG,1850,520.941489496653,0.6309967,3808316.59045648,regional average
Afghanistan,AFG,1870,569.946609683208,0.4958121,4207000,van Zanden et al. (2014) - original
Afghanistan,AFG,1890,658.931155934352,0.3652764,4857164.31575477,van Zanden et al. (2014) - original
Afghanistan,AFG,1910,766.422474502486,0.4247902,5607807.27127205,van Zanden et al. (2014) - original
Afghanistan,AFG,1929,921.489621961011,0.43255035,6672953.14961031,regional average
Afghanistan,AFG,1950,1156,0.413117133333333,8150000,regional average
Afghanistan,AFG,1960,1326,0.36811183,9829000,GCIP (income) - original
Afghanistan,AFG,1970,1272,0.36811183,12431000,GCIP (income) - original
Afghanistan,AFG,1980,1019,0.36811183,15044000,GCIP (income) - original
Afghanistan,AFG,1990,963,0.36811183,13568000,GCIP (income) - original
Afghanistan,AFG,2000,502,0.36811183,22461000,GCIP (income) - original
Afghanistan,AFG,2005,964,0.36811183,26335000,GCIP (income) - original
Afghanistan,AFG,2010,1628,0.36811183,29121000,GCIP (income) - original
Afghanistan,AFG,2017,2015,0.36811183,34125000,GCIP (income) - original
Albania,ALB,1820,484.197571779927,0.465460366666667,437000,regional average
Albania,ALB,1850,578.409330210462,0.36557975,500000,regional average
Albania,ALB,1870,711,0.412354,603000,van Zanden et al. (2014) - original
Albania,ALB,1890,953,0.2836242,726000,van Zanden et al. (2014) - original
Albania,ALB,1910,1243,0.2770537,874000,van Zanden et al. (2014) - original
Albania,ALB,1929,1476,0.393708625,977000,regional average
Albania,ALB,1950,1596,0.362617966666667,1227000,regional average
Albania,ALB,1960,2313,0.44799705,1623000,GCIP (income) - original
Albania,ALB,1970,3194,0.44799705,2157000,GCIP (income) - original
Albania,ALB,1980,3741,0.44799705,2671000,GCIP (income) - original
Albania,ALB,1990,3983,0.44799705,3251000,GCIP (income) - original
Albania,ALB,2000,4808,0.45993337,3164000,GCIP (income) - original
Albania,ALB,2005,6858,0.4601507,3030000,GCIP (income) - original
Albania,ALB,2010,9223,0.45615726,2992000,GCIP (income) - original
Albania,ALB,2017,10702,0.45430391,3053000,GCIP (income) - original
Algeria,DZA,1820,685,0.5771468,2689000,regional average
Algeria,DZA,1850,929.863368848946,0.6309967,3296518.46148491,regional average
Algeria,DZA,1870,1140,0.50372255,3776000,regional average
Algeria,DZA,1890,1429.35359573633,0.359815542857143,4496654.7537961,regional average
Algeria,DZA,1910,1792.15061547752,0.3646704,5354847.45096321,van Zanden et al. (2014) - original
Algeria,DZA,1929,1986.94132646608,0.4031699,6768160.13787498,van Zanden et al. (2014) - original
Algeria,DZA,1950,2176,0.413117133333333,8893000,regional average
Algeria,DZA,1960,3328,0.51523609,10909000,GCIP (income) - original
Algeria,DZA,1970,3585,0.51523609,13932000,GCIP (income) - original
Algeria,DZA,1980,5024,0.51523609,18806000,GCIP (income) - original
Algeria,DZA,1990,4697,0.50918387,25089000,GCIP (income) - original
Algeria,DZA,2000,6835,0.49748709,30515000,GCIP (income) - original
Algeria,DZA,2005,9970,0.49748709,32785000,GCIP (income) - original
Algeria,DZA,2010,12588,0.49748709,35805000,GCIP (income) - original
Algeria,DZA,2017,14267,0.49748709,40804000,GCIP (income) - original
Angola,AGO,1820,899.103749023885,0.4893343,1085233.55906224,van Zanden et al. (2014) - original
Angola,AGO,1850,788.607833739804,0.46770565,1397587.35710277,regional average
Angola,AGO,1870,973.272240104982,0.513095516666667,1654307.08101348,regional average
Angola,AGO,1890,1033.35294114939,0.2897607,2012498.91100665,van Zanden et al. (2014) - original
Angola,AGO,1910,1085.62548518348,0.408695,2448246.70902195,van Zanden et al. (2014) - original
Angola,AGO,1929,1127.63030495308,0.5306181,3117036.42050394,van Zanden et al. (2014) - original
Angola,AGO,1950,1677,0.4848807,4118000,van Zanden et al. (2014) - original
Angola,AGO,1960,1997,0.56847878,4797000,GCIP (income) - original
Angola,AGO,1970,2818,0.56847878,5606000,GCIP (income) - original
Angola,AGO,1980,1532,0.56847878,6743000,GCIP (income) - original
Angola,AGO,1990,1384,0.56847878,8297000,GCIP (income) - original
Angola,AGO,2000,2014,0.56847878,11676000,GCIP (income) - original
Angola,AGO,2005,3709,0.58115975,14012000,GCIP (income) - original
Angola,AGO,2010,7521,0.52831291,16884000,GCIP (income) - original
Angola,AGO,2017,8146,0.52831291,21858000,GCIP (income) - original
Argentina,ARG,1820,1591,0.4710099,534000,van Zanden et al. (2014) - original
Argentina,ARG,1850,1994,0.3368675,1100000,van Zanden et al. (2014) - original
Argentina,ARG,1870,2340,0.522,1796000,van Zanden et al. (2014) - original
Argentina,ARG,1890,3851,0.4459684,3376000,van Zanden et al. (2014) - original
Argentina,ARG,1910,6092,0.5062016,6836000,van Zanden et al. (2014) - original
Argentina,ARG,1929,6961,0.454,11592000,van Zanden et al. (2014) - original
Argentina,ARG,1950,7949,0.412,17150000,van Zanden et al. (2014) - original
Argentina,ARG,1960,8861,0.45459352,20616000,GCIP (income) - original
Argentina,ARG,1970,11639,0.4091949,23962000,GCIP (income) - original
Argentina,ARG,1980,13080,0.39374165,28370000,GCIP (income) - original
Argentina,ARG,1990,10254,0.46450029,33036000,GCIP (income) - original
Argentina,ARG,2000,14369,0.50346163,37336000,GCIP (income) - original
Argentina,ARG,2005,15344,0.48866763,39368000,GCIP (income) - original
Argentina,ARG,2010,18980,0.44154751,41359000,GCIP (income) - original
Argentina,ARG,2017,19201,0.4215032,44294000,GCIP (income) - original
Armenia,ARM,1820,634.524127182765,0.4556807,413243.647359541,regional average
Armenia,ARM,1850,757.985369602334,0.2912185,556499.935958478,van Zanden et al. (2014) - original
Armenia,ARM,1870,931.740844483204,0.5954074,669097.794187257,van Zanden et al. (2014) - original
Armenia,ARM,1890,1251.49633967789,0.3275693,835044.188649615,van Zanden et al. (2014) - original
Armenia,ARM,1910,1948.88814055638,0.3684933,1118493.71732438,van Zanden et al. (2014) - original
Armenia,ARM,1929,2003.30102489019,0.4195083,1297999.31503417,regional average
Armenia,ARM,1950,4107.26588579795,0.404486325,1355000,regional average
Armenia,ARM,1960,5702.47027818448,0.24600342,1869000,GCIP (income) - original
Armenia,ARM,1970,8058.54816983895,0.24600342,2520000,GCIP (income) - original
Armenia,ARM,1980,9291,0.24600342,3115000,GCIP (income) - original
Armenia,ARM,1990,9669,0.32632321,3377000,GCIP (income) - original
Armenia,ARM,2000,5140,0.46215348,2966000,GCIP (income) - original
Armenia,ARM,2005,8007,0.46196242,2951000,GCIP (income) - original
Armenia,ARM,2010,8331,0.44687446,2939000,GCIP (income) - original
Armenia,ARM,2017,10859,0.44815541,2914000,GCIP (income) - original
Australia,AUS,1820,826,0.51071655,334000,regional average
Australia,AUS,1850,3148,0.4130739,605000,van Zanden et al. (2014) - original
Australia,AUS,1870,5217,0.4754506,1775000,van Zanden et al. (2014) - original
Australia,AUS,1890,7106,0.3935404,3107000,van Zanden et al. (2014) - original
Australia,AUS,1910,8305,0.4072747,4375000,van Zanden et al. (2014) - original
Australia,AUS,1929,8389,0.3627016,6396000,van Zanden et al. (2014) - original
Australia,AUS,1950,11815,0.3793349,8267000,van Zanden et al. (2014) - original
Australia,AUS,1960,14013,0.31341699,10361000,GCIP (income) - original
Australia,AUS,1970,19166,0.31341699,12660000,GCIP (income) - original
Australia,AUS,1980,22972,0.31341699,14616000,GCIP (income) - original
Australia,AUS,1990,27373,0.33176085,16956000,GCIP (income) - original
Australia,AUS,2000,36603,0.33897295,18902000,GCIP (income) - original
Australia,AUS,2005,41904,0.34479082,20059000,GCIP (income) - original
Australia,AUS,2010,45400,0.34752526,21896000,GCIP (income) - original
Australia,AUS,2017,49266,0.34752526,24466000,GCIP (income) - original
Austria,AUT,1820,1941,0.5335227,3369000,van Zanden et al. (2014) - original
Austria,AUT,1850,2630,0.3606522,3950000,van Zanden et al. (2014) - original
Austria,AUT,1870,2970,0.493368842857143,4520000,regional average
