Entity,Code,Year,Share under $2 per day,Share under $20 per day,Share under $5 per day,Share under $10 per day,Share under $5.2 a day (roughly equivalent to the international poverty line)
Afghanistan,AFG,1820,83.9736240542188,99.8756137234667,96.4209361609392,99.209562629649,96.684885809632
Afghanistan,AFG,1850,81.6153931696585,99.6668413087865,94.7602554790671,98.4906671382678,95.0825519084427
Afghanistan,AFG,1870,76.8620669646009,99.9243055556938,95.5843883716589,99.2619458392876,95.9585033541055
Afghanistan,AFG,1890,68.7361528100749,99.9954887281576,96.7998749079476,99.8035583712457,97.1967962864218
Afghanistan,AFG,1910,63.1120906519457,99.9402823168004,93.2019131866133,99.0999853475473,93.8279249317015
Afghanistan,AFG,1929,54.6279811950536,99.8479995051691,89.4233325215617,98.2420032718693,90.2832426694624
Afghanistan,AFG,1950,41.5276137400639,99.7302950677971,83.6069984242059,96.9977928583364,84.8371444539683
Afghanistan,AFG,1960,29.3828413825632,99.7857434290081,79.1089322867117,96.6620215065498,80.732921200013
Afghanistan,AFG,1970,31.5305134271126,99.8237099641696,80.8279425806855,97.0930996261094,82.3675407834738
Afghanistan,AFG,1980,43.8986880527331,99.9412887263698,88.4717192814994,98.6857860776465,89.5585653394369
Afghanistan,AFG,1990,47.2053174689597,99.9563419832825,90.0136856187099,98.9428307764726,90.9913309693277
Afghanistan,AFG,2000,81.3651476784746,99.9991067920041,98.7579752730058,99.9456448480626,98.9325753324066
Afghanistan,AFG,2005,47.1443563795654,99.9561012696923,89.9868013273408,98.9385375175031,90.9664108069492
Afghanistan,AFG,2010,19.9030992015072,99.4667975610523,69.4046758579589,93.7045631988658,71.4045949936245
Afghanistan,AFG,2017,12.3051146191106,98.7413508439103,57.635323592543,88.7941870724806,59.8885127057646
Albania,ALB,1820,81.7687385720007,99.9790691105675,97.4398580392897,99.6917910516264,97.6947365800505
Albania,ALB,1850,75.2496191683332,99.9979905497125,97.9568736837359,99.8949800959215,98.2277811871125
Albania,ALB,1870,66.1960188086387,99.9687402254143,94.659325230485,99.4074699103963,95.1926520229574
Albania,ALB,1890,39.6687136161607,99.9987763668799,93.5926862607367,99.7951083203495,94.4954948832733
Albania,ALB,1910,20.8718191119436,99.9922115342144,84.534904394313,99.1784246829753,86.3222977958901
Albania,ALB,1929,27.3738601670217,99.4731048881724,74.3968654262278,94.593383533651,76.0974596689042
Albania,ALB,1950,20.042097879301,99.5526445531283,70.3481675486663,94.2285702473487,72.3502127331485
Albania,ALB,1960,17.091985790188,96.3030222732041,55.5209222741867,83.2203771137301,57.3567004165943
Albania,ALB,1970,9.10649246482066,91.9735982971933,40.3284105201292,71.8780006865626,42.1433939302753
Albania,ALB,1980,6.39839324779413,88.7885440569407,33.2582107874996,65.2205766921297,34.9687189065968
Albania,ALB,1990,5.51677452680062,87.3031057444245,30.5966273928446,62.4287120850646,32.2511363237693
Albania,ALB,2000,4.07418767028099,81.9951585132991,24.6770886425055,54.5875346807233,26.1273754571031
